bedrooms,total_area,ceiling_height,floors_total,living_area,floor,is_new_building,has_elevator,has_parking,kitchen_area,has_balcony,city_center_dist,metro_dist,last_price
5,203.5084550805902,2.510308459262135,16,150.8688834948609,9,1,1,1,14.37538330274168,1,19997.36569602126,4244.5682826430275,194649.66
4,147.47074618922852,2.777919072671227,12,100.2801074086754,11,0,1,0,17.696489542707422,1,1850.3767292365249,7060.173275731527,128053.83
4,170.6316705341756,2.6000827094259513,22,104.75077590548372,22,1,1,1,35.62722746425308,1,37290.30377210562,9474.511687685492,166872.73
3,127.23769064789305,2.524438239005434,26,81.30705690382638,14,1,1,1,11.80738967259396,0,15798.85736817691,3632.6816637467036,128271.72
2,125.1679378545119,2.5535003865124843,14,58.64123323878652,14,0,1,1,9.162533847670632,0,22304.823585914542,5817.077908887119,87622.66
7,286.80869070440235,2.7457175206881823,1,210.17726617652528,1,1,0,1,40.69951313162582,1,8329.76955056159,1160.2608784273484,254164.14
2,78.42385821871596,2.8874794751370567,12,51.61043754363281,1,0,1,1,15.70669358925518,1,24840.292134541145,6857.181596905867,85900.82
1,52.79708652174574,2.628331445381289,4,32.61030637709106,4,0,0,1,9.531178904321713,1,14171.500987729081,2456.821643429249,36455.91
2,90.38068104035099,2.3763241191618434,6,50.24275197939351,2,0,1,0,6.797066806313305,1,23609.67248707203,4743.391706370703,85070.54
4,152.80022078894416,3.3177801107500215,25,92.49300592931803,9,1,1,0,26.127258136146366,1,29545.84231232855,3325.505794764661,149547.21
2,100.92174051382719,2.9512034139661645,8,71.38792275856841,3,1,1,0,19.443757996793668,0,24594.60778700849,601.484533996159,71064.93
2,98.17712953405982,2.9178102608317813,15,46.95526919776363,4,0,1,1,10.86403053611352,0,1709.823928524106,7433.403010311581,83139.15
3,162.18369689481955,3.0430181499655773,16,101.75161352502182,5,0,1,0,27.248807743545314,0,32340.132617200343,6231.829338488866,132234.28
6,199.6064935861949,2.7666265723874615,36,92.24281605722346,20,1,1,1,28.761767525603922,1,22654.267978346616,8194.348987718535,178049.57
3,169.92624531697692,2.7256997957441973,7,122.39592558161353,1,0,1,0,17.13610345315857,0,9916.680032930522,9468.51339718675,151047.84
2,113.15074850873981,2.994042453431935,4,59.274728047899785,1,1,0,0,23.22152189456485,1,13284.713836008683,4167.531752255355,112280.38
6,176.5084261791412,2.9928276769919013,22,135.23823037017203,7,1,1,0,18.26001815763948,1,32536.049747191977,7587.2544024600365,163394.78
2,148.3875391047869,2.860733619070444,25,91.50066858122952,3,0,1,1,29.094539725109048,0,37483.20814137494,3167.5616608117684,127194.47
5,161.230660083899,2.908849614917978,21,98.35752339361642,19,0,1,0,28.255395762804863,1,32631.83541221323,4385.271252639742,122135.92
3,155.81338338242665,2.527020998534595,29,89.76770244422548,13,1,1,0,16.07002391042275,0,35507.07396093257,8375.51434628947,124524.0
1,75.20806770551248,2.7036554704563343,35,47.43570742091655,21,0,1,1,13.289151639932635,1,19850.13730855423,8995.210563343646,91800.3
2,66.67243433736768,3.056686660871529,25,37.890595642967554,15,1,1,0,4.927142085178802,0,16962.09681568479,3821.8955175556025,69643.28
3,102.64493060131964,2.894781965314421,22,59.12077230776286,8,1,1,1,10.82295712414276,1,32843.73924600902,8047.491468863606,113751.91
1,63.69282967378298,2.486836247202285,28,33.02246836092388,8,0,1,0,7.18523595526719,1,16085.611364535078,7682.3118475392575,57033.6
2,114.73173971179435,2.654401507695891,9,65.49175190836098,1,1,1,0,23.333968028420344,1,28381.357761963074,1946.230697037241,95602.69
5,155.2107768979895,3.0273722116448187,10,113.94027551921373,9,1,1,1,32.17645489476819,0,24715.35158548765,6293.507219008819,134128.76
3,166.66723670799144,2.831939087071763,15,89.33227068886765,12,0,1,0,18.44153136239574,1,6538.801168342943,5011.52513210753,143785.51
1,96.6238417497319,2.7827400771681705,31,71.25465691279827,21,0,1,0,13.64316908898062,0,12692.441585831806,722.0022618881168,94756.68
3,102.65936592353336,2.7881529796469264,35,69.80836882800268,26,1,1,1,12.319123910824002,1,8892.54380125518,5517.000515635776,117075.59
